id,nome,cliente,diretor,categoria,produtoraContratante,agencia,creditos,is_service,slug,date,thumbnail,video_url,showable,createdAt,updatedAt
02c98770-81c0-4301-bd31-99c119310501,Divinas,Vitoria de Mello Franco,Vitoria de Mello Franco,Conteudo,Cosmo Cine,Nowness,"Director: Vitoria de Mello Franco, Director of Photography Vinicius Brum , Executive Producer: Raphael Vieira 
",false,divinas,2019-01-14 00:00:00,https://i.vimeocdn.com/video/752047517-e3fdbb8f89fc2baf1e5793a71dd335ef114e20a8149f022d501c467b6f18a301-d_640?region=us,https://vimeo.com/311270162,true,2025-08-11 19:42:23.911,2025-08-11 19:42:23.911
0511e77c-6ec0-42ce-9d74-b97d49d9f9d3,Na Cara do Gol,Uber,N/A,Publicidade,Cosmo Cine,,,true,na-cara-do-gol,2018-06-14 00:00:00,https://i.vimeocdn.com/video/707325415-9b665a1f1cb9c082c092903115e77292bac02a572e11440a74dbc8a7c00260dd-d_640?region=us,https://vimeo.com/275117863,true,2025-08-11 07:54:20.11,2025-08-11 07:54:20.11
0b810dda-ff3b-4f89-aef9-66fbc222e06f,Throw Some Ass,Sofi Tukker,Aerin Moreno,Clipe,Cosmo Cine,Scheme Engine,"Director: Aerin Moreno, Creative Director: Kunna Haan, Management: Justina Heckard & Neil Harris, Executive Producer (USA): Sheira Rees-Davies, Head of Production: James Rothman, Producer (USA): Brian Sean Mcelroy, Producers (Brazil): Rafael Marques Thomaseto & Helena Sardinha, Director of Photography: Russ Fraser, Executive Producer: Bernardo Portella, Creative Producer: Tadeu Bijos, 1st Assistant Director: Juliana Mansur, 2nd Assistant Director: Gabriela Scardini, Line Producer: Guilherme Meirelles, Production Assistant / Chaperone: Lucas Beaubernard, 1st Assistant Camera / Focus Puller: André Andrade, 2nd Assistant Camera: João Gabriel Torgano Brito, Steadicam Operator: Fernando Arruzzo, Gaffer: Raphael Santana, Grip: Thales De Deus, Production Designer: Nathalia Siqueira, Drone Operators: “Tasca” Roberto Carlo Enrique Tascheri D’Ausilio, Emerson de Carvalho Guimarães, Graphic Designer: Bruna Lucena, Make-up Artist: Andressa Pontes, Hair Stylist: Dany Ribeiro, Sofi Tukker Stylist: Anastasia Walker, Sofi Tukker Stylist Assistants: Kathleen Pedro, Douglas Wright, Jewelry: Paola Vilas, Stylist: Antonio Schuback, Stylist Assistants: Alice Calzolari, Moema Fonseca, Editor: Aerin Moreno, Post Producer: Brian Sean Mcelroy, Colorist: Matt Osborne (Co3), Choreographer / Movement Director: Victorya Gabrielle Oliveira Magalhães, Cast:
“Leskill” – Leandro Gomes Rodrigues,
“Margot” – Mariah de Castro Arco e Flexa,
Lia Cará,
“Marzinho” – Adryana Barbosa de Moraes,
Augusto Follmann,
“Lagarthixaa” – Thiago Nunes de Albuquerque,
Cacau Nascimento,
Carlos Viegas,
Clara Lopes,
Hiltinho Fantástico,
“Celamar” – Marcela Silva Santos da Cruz,
“Morgana” -Thaysa Ferreira de Souza da Silva Dias,
Laissy Tavares,
Duly Omega,",true,throw-some-ass,2024-05-03 00:00:00,https://i.vimeocdn.com/video/2013621445-07ccf867d18b174770422f63c572b6d53546dfcd38f1895d8520d51435c3dbf0-d_295x166?region=us,https://vimeo.com/1082601305,true,2025-08-11 20:13:24.336,2025-08-11 20:13:24.336
0bc33271-f5df-4fa2-b09f-18031f7ff27d,Lá,Santander,N/A,Publicidade,Cosmo Cine,,,true,la,2018-08-16 00:00:00,https://i.vimeocdn.com/video/719797359-cadffc1fa1ac37fb6f82a53eee17dc8667a3af0a1d3c852dfba53a56939a656a-d_640?region=us,https://vimeo.com/285179083,true,2025-08-11 08:05:21.688,2025-08-11 08:05:21.688
0efb729e-8a80-448f-a38e-9feb16cafd20,Devagarinho,Gilsons & Mariana Volker,Pedro Alvarenga,Clipe,Cosmo Cine,,"Director: Pedro Alvarenga, Writer: Pedro Alvarenga, Cast: Natasha Jascalevich, Vyctórya Devin, Narration: Fernanda Montenegro, Director of Photography: Bernardo Negri, Editor: João Sucupira, Compositing / VFX: Pedro Araujo, Colorist: André Andrade, Assistant Editor: Pedro Cortes, Post-Production Coordinator: João Sucupira, Art Director & Costume Designer: Luiza Mitidieri, Make-up Artists: Jorge Monteiro, Andressa Pontes, Associate Producer: Francisco Gil, Production Coordinator: Guilherme Meirelles, Producer: Simon Jochemczyk, Bia Torres, Steadicam Operator: Bernardo Negri, 1st Assistant Camera: André Andrade, 2nd Assistant Camera: Fernando Dom, Key Grip: Thales de Deus, Sound Design: Day Out of Time, Lettering: Pedro Caldas, Juliana Cruz, Catering: Cafuné",true,devagarinho,2020-09-22 00:00:00,https://i.vimeocdn.com/video/962293398-11e09ffc8626cff1f83969d303e60a49db83d0a40f44cb9a642ad17e01c10832-d_295x166?region=us,https://vimeo.com/460617116,true,2025-08-11 22:29:33.963,2025-08-11 22:29:33.963
108f7f92-2710-4472-bfcf-fff4d3b44b36,Onde O Vento Levar,E-Group,Bernardo Sá Carvalho,Conteudo,Cosmo Cine,,"Director: Bernardo Sá Carvalho; Cinematographer: Bernardo Negri; Words: Bernardo Sá Carvalho, Maurício Baia; Screenplay: Marcos Dalpozzo; Featurings: Morgana Massetti, Pedro Massetti Dalpozzo, Reno Romeu, Carla Lima, Marco Dalpozzo; Soundtrack & Sound Design: Studio Fino, Colourist João Sucupira; Production: Jalila Paulino, Nelson Paura; Design & Art: Studio Peixe",false,onde-o-vento-levar,2017-04-12 00:00:00,https://i.vimeocdn.com/video/629098988-f501f4ef4d6cac69e4cbdc6343cecc588449977ae1b95e3662fcb6cea74e4696-d_640?region=us,https://vimeo.com/212972021,true,2025-08-11 06:53:02.061,2025-08-11 06:53:02.061
19e1e495-a406-4366-b899-ead207e04d2c,Two By Four,Daniel Venosa & Andrew Livingston,Daniel Venosa & Andrew Livingston,Conteudo,Cosmo Cine,,"Directors:
Daniel Venosa,
Andrew Livingston, Editor:
Chris Rogers, Featuring: Brian Mitchell",false,two-by-four,2020-10-13 00:00:00,https://i.vimeocdn.com/video/974426809-13863a3e450ffcd8fe4f64973ac82d3c4e8f38c771952642893ee1049311a226-d_200x150?region=us,https://vimeo.com/467764469,true,2025-08-11 22:15:44.542,2025-08-11 22:15:44.542
1b2df541-fdaa-467c-9635-e598c5a9cace,A Cozinha,Johnny Massaro,Johnny Massaro,Conteudo,Cosmo Cine,,"Director: Johnny Massaro, Writer: Felipe Haiut

, Cinematographer: Diego Robaldo, Editor: Marina Kosa
, Casting Director: Raoni Seixas
, Art Director: Rodrigo Saraiva, Dialogue Editor / Sound Effects Editor: Acácia Lima, Sound Mixer: Gustavo Ruggeri, Camera and Electrical Department:
2nd Assistant Camera: Julia Lacerda
Gaffer: Walerio Rosa, Post-Production Coordinator: Eduardo Pires de Vasconcelos, Post-Production Supervisor: Luiz Méliga",true,a-cozinha,2023-08-11 00:00:00,https://i.vimeocdn.com/video/1636473676-b2f6ba62765d8b8912548f5b4b540c70a974448c03e371751d0bafdd81e9b0fa-d_295x166?region=us,https://vimeo.com/809807873,true,2025-08-11 21:17:13.598,2025-08-11 21:17:13.598
1e00d3c6-3f0c-414f-b574-9b3ddd3c04c9,Pagando,Skol,N/A,Publicidade,Cosmo Cine,,,true,pagando,2019-03-28 00:00:00,https://i.vimeocdn.com/video/771256463-ced70efe8c36c6f9c92138bf4e101312abc44d1987fc1a74ccf4bafb7a7b1886-d_640?region=us,https://vimeo.com/327071629,true,2025-08-11 23:20:18.994,2025-08-11 23:20:18.994
26557d39-3708-401d-9274-5ab3fbe9a969,Mahmundi,Imagem,Artur Miranda,Clipe,Cosmo Cine,Universal,"Director: Artur Miranda; Creative Directors: Eduardo Magalhães & Hugo Braga; Concept: Eduardo Magalhães, Hugo Braga & Artur Miranda; Editing: Artur Miranda, Hugo Braga & Eduardo Magalhães; Director of Photography: Daniel Venosa; Producers: Guilherme “Bolo” & Bernardo Portella; Art Directors: Nícolas Martins & Vinicius Mesquita; Lettering & Motion Graphics: Relâmpago; Props: Welber Caetano, Gilberto & Márcio Xavier; Color Grading: Hebert Marmo; Costume Designers: Hugo Braga & Larissa Silveira; Casting: Thiago Monçores; Makeup: Jorge Henrique Monteiro & Marcia Alves; Production Assistants: Alexandre Lessa, Luiz Henrique Lins Campos & Rômulo Gil; Steadicam Operator: Dudu Mafra Lino; Camera Assistants: Fernando Macedo, Lucas Bobst & Pedro Campos; Electricians: Raphael Santanna, Lucas Stirling & William Gomes; Grips: Nil & Ronald Monte; Driver: Reinaldo Borges; Special Thanks: Baile Charme de Madureira – Dutão, Void Madu, SuperVia & Chico Tadeu; Cast: Agatha Alves, Ana Paula Silva, Clara Rodrigues, Fhelipe Marques, Gabriela Andy, Pedro Henrique Brum & André Henrique",true,mahmundi,2017-07-10 00:00:00,https://i.vimeocdn.com/video/644132381-1bf182004ae4dbc49a322e2f0ad2d4421043fbb37407acd3de66a374fe000e9f-d_640?region=us,https://vimeo.com/224956641,true,2025-08-11 07:23:25.548,2025-08-11 07:23:25.548
